game_number,name,space,color,turns,winner,player_number
78,PLAYER 1,86,green,4,0,1
78,PLAYER 2,104,red,4,1,2
78,PLAYER 3,87,yellow,3,0,3
78,PLAYER 4,76,blue,3,0,4
79,PLAYER 1,114,green,4,1,1
79,PLAYER 2,85,red,3,0,2
79,PLAYER 3,58,yellow,3,0,3
79,PLAYER 4,69,blue,3,0,4
80,PLAYER 1,81,green,4,0,1
80,PLAYER 2,109,red,4,1,2
80,PLAYER 3,84,yellow,3,0,3
80,PLAYER 4,87,blue,3,0,4
81,PLAYER 1,100,green,4,1,1
81,PLAYER 2,76,red,3,0,2
81,PLAYER 3,65,yellow,3,0,3
81,PLAYER 4,50,blue,3,0,4
82,PLAYER 1,108,green,4,1,1
82,PLAYER 2,80,red,3,0,2
82,PLAYER 3,67,yellow,3,0,3
82,PLAYER 4,63,blue,3,0,4
83,PLAYER 1,117,green,4,1,1
83,PLAYER 2,64,red,3,0,2
83,PLAYER 3,62,yellow,3,0,3
83,PLAYER 4,86,blue,3,0,4
84,PLAYER 1,110,green,4,1,1
84,PLAYER 2,65,red,3,0,2
84,PLAYER 3,79,yellow,3,0,3
84,PLAYER 4,52,blue,3,0,4
85,PLAYER 1,94,green,4,0,1
85,PLAYER 2,107,red,4,1,2
85,PLAYER 3,85,yellow,3,0,3
85,PLAYER 4,61,blue,3,0,4
86,PLAYER 1,100,green,4,1,1
86,PLAYER 2,79,red,3,0,2
86,PLAYER 3,82,yellow,3,0,3
86,PLAYER 4,76,blue,3,0,4
87,PLAYER 1,96,green,4,0,1
87,PLAYER 2,114,red,4,1,2
87,PLAYER 3,85,yellow,3,0,3
87,PLAYER 4,87,blue,3,0,4
88,PLAYER 1,97,green,4,0,1
88,PLAYER 2,108,red,4,1,2
88,PLAYER 3,62,yellow,3,0,3
88,PLAYER 4,75,blue,3,0,4
89,PLAYER 1,69,green,3,0,1
89,PLAYER 2,102,red,3,1,2
89,PLAYER 3,68,yellow,2,0,3
89,PLAYER 4,71,blue,2,0,4
90,PLAYER 1,88,green,4,0,1
90,PLAYER 2,104,red,4,1,2
90,PLAYER 3,71,yellow,3,0,3
90,PLAYER 4,57,blue,3,0,4
91,PLAYER 1,92,green,4,0,1
91,PLAYER 2,107,red,4,1,2
91,PLAYER 3,83,yellow,3,0,3
91,PLAYER 4,74,blue,3,0,4
92,PLAYER 1,103,green,4,1,1
92,PLAYER 2,68,red,3,0,2
92,PLAYER 3,91,yellow,3,0,3
92,PLAYER 4,67,blue,3,0,4
93,PLAYER 1,81,green,4,0,1
93,PLAYER 2,102,red,4,1,2
93,PLAYER 3,90,yellow,3,0,3
93,PLAYER 4,79,blue,3,0,4
94,PLAYER 1,91,green,4,0,1
94,PLAYER 2,121,red,4,1,2
94,PLAYER 3,64,yellow,3,0,3
94,PLAYER 4,82,blue,3,0,4
95,PLAYER 1,93,green,3,0,1
95,PLAYER 2,51,red,3,0,2
95,PLAYER 3,108,yellow,3,1,3
95,PLAYER 4,42,blue,2,0,4
96,PLAYER 1,68,green,3,0,1
96,PLAYER 2,97,red,3,0,2
96,PLAYER 3,104,yellow,3,1,3
96,PLAYER 4,58,blue,2,0,4
97,PLAYER 1,106,green,4,1,1
97,PLAYER 2,87,red,3,0,2
97,PLAYER 3,84,yellow,3,0,3
97,PLAYER 4,77,blue,3,0,4
98,PLAYER 1,112,green,4,1,1
98,PLAYER 2,88,red,3,0,2
98,PLAYER 3,71,yellow,3,0,3
98,PLAYER 4,88,blue,3,0,4
99,PLAYER 1,123,green,4,1,1
99,PLAYER 2,97,red,3,0,2
99,PLAYER 3,67,yellow,3,0,3
99,PLAYER 4,57,blue,3,0,4
100,PLAYER 1,109,green,3,1,1
100,PLAYER 2,56,red,2,0,2
100,PLAYER 3,31,yellow,2,0,3
100,PLAYER 4,77,blue,2,0,4
101,PLAYER 1,104,green,4,1,1
101,PLAYER 2,75,red,3,0,2
101,PLAYER 3,73,yellow,3,0,3
101,PLAYER 4,90,blue,3,0,4
102,PLAYER 1,101,green,3,1,1
102,PLAYER 2,56,red,2,0,2
102,PLAYER 3,47,yellow,2,0,3
102,PLAYER 4,43,blue,2,0,4
103,PLAYER 1,107,green,4,1,1
103,PLAYER 2,54,red,3,0,2
103,PLAYER 3,73,yellow,3,0,3
103,PLAYER 4,60,blue,3,0,4
104,PLAYER 1,91,green,4,0,1
104,PLAYER 2,117,red,4,1,2
104,PLAYER 3,77,yellow,3,0,3
104,PLAYER 4,79,blue,3,0,4
105,PLAYER 1,101,green,4,1,1
105,PLAYER 2,62,red,3,0,2
105,PLAYER 3,67,yellow,3,0,3
105,PLAYER 4,82,blue,3,0,4
106,PLAYER 1,87,green,3,0,1
106,PLAYER 2,68,red,3,0,2
106,PLAYER 3,80,yellow,3,0,3
106,PLAYER 4,110,blue,3,1,4
107,PLAYER 1,76,green,4,0,1
107,PLAYER 2,101,red,4,1,2
107,PLAYER 3,59,yellow,3,0,3
107,PLAYER 4,94,blue,3,0,4
108,PLAYER 1,118,green,4,1,1
108,PLAYER 2,59,red,3,0,2
108,PLAYER 3,59,yellow,3,0,3
108,PLAYER 4,72,blue,3,0,4
109,PLAYER 1,69,green,3,0,1
109,PLAYER 2,93,red,3,0,2
109,PLAYER 3,85,yellow,3,0,3
109,PLAYER 4,107,blue,3,1,4
110,PLAYER 1,64,green,3,0,1
110,PLAYER 2,47,red,3,0,2
110,PLAYER 3,111,yellow,3,1,3
110,PLAYER 4,44,blue,2,0,4
111,PLAYER 1,103,green,4,1,1
111,PLAYER 2,71,red,3,0,2
111,PLAYER 3,56,yellow,3,0,3
111,PLAYER 4,68,blue,3,0,4
112,PLAYER 1,50,green,3,0,1
112,PLAYER 2,74,red,3,0,2
112,PLAYER 3,100,yellow,3,1,3
112,PLAYER 4,65,blue,2,0,4
113,PLAYER 1,115,green,4,1,1
113,PLAYER 2,80,red,3,0,2
113,PLAYER 3,69,yellow,3,0,3
113,PLAYER 4,97,blue,3,0,4
114,PLAYER 1,118,green,4,1,1
114,PLAYER 2,89,red,3,0,2
114,PLAYER 3,88,yellow,3,0,3
114,PLAYER 4,72,blue,3,0,4
115,PLAYER 1,67,green,4,0,1
115,PLAYER 2,115,red,4,1,2
115,PLAYER 3,92,yellow,3,0,3
115,PLAYER 4,71,blue,3,0,4
116,PLAYER 1,107,green,4,1,1
116,PLAYER 2,79,red,3,0,2
116,PLAYER 3,93,yellow,3,0,3
116,PLAYER 4,63,blue,3,0,4
117,PLAYER 1,109,green,4,1,1
117,PLAYER 2,67,red,3,0,2
117,PLAYER 3,80,yellow,3,0,3
117,PLAYER 4,83,blue,3,0,4
118,PLAYER 1,100,green,3,1,1
118,PLAYER 2,59,red,2,0,2
118,PLAYER 3,34,yellow,2,0,3
118,PLAYER 4,43,blue,2,0,4
119,PLAYER 1,105,green,4,1,1
119,PLAYER 2,93,red,3,0,2
119,PLAYER 3,77,yellow,3,0,3
119,PLAYER 4,89,blue,3,0,4
120,PLAYER 1,89,green,4,0,1
120,PLAYER 2,105,red,4,1,2
120,PLAYER 3,74,yellow,3,0,3
120,PLAYER 4,96,blue,3,0,4
121,PLAYER 1,82,green,4,0,1
121,PLAYER 2,86,red,4,0,2
121,PLAYER 3,80,yellow,4,0,3
121,PLAYER 4,108,blue,4,1,4
122,PLAYER 1,105,green,4,1,1
122,PLAYER 2,79,red,3,0,2
122,PLAYER 3,73,yellow,3,0,3
122,PLAYER 4,77,blue,3,0,4
123,PLAYER 1,97,green,4,0,1
123,PLAYER 2,97,red,4,0,2
123,PLAYER 3,102,yellow,4,1,3
123,PLAYER 4,62,blue,3,0,4
124,PLAYER 1,93,green,4,0,1
124,PLAYER 2,68,red,4,0,2
124,PLAYER 3,73,yellow,4,0,3
124,PLAYER 4,102,blue,4,1,4
125,PLAYER 1,110,green,4,1,1
125,PLAYER 2,80,red,3,0,2
125,PLAYER 3,93,yellow,3,0,3
125,PLAYER 4,60,blue,3,0,4
126,PLAYER 1,128,green,4,1,1
126,PLAYER 2,88,red,3,0,2
126,PLAYER 3,91,yellow,3,0,3
126,PLAYER 4,72,blue,3,0,4
127,PLAYER 1,82,green,4,0,1
127,PLAYER 2,110,red,4,1,2
127,PLAYER 3,71,yellow,3,0,3
127,PLAYER 4,89,blue,3,0,4
128,PLAYER 1,104,green,4,1,1
128,PLAYER 2,68,red,3,0,2
128,PLAYER 3,88,yellow,3,0,3
128,PLAYER 4,51,blue,3,0,4
129,PLAYER 1,118,green,4,1,1
129,PLAYER 2,70,red,3,0,2
129,PLAYER 3,57,yellow,3,0,3
129,PLAYER 4,93,blue,3,0,4
130,PLAYER 1,88,green,4,0,1
130,PLAYER 2,109,red,4,1,2
130,PLAYER 3,61,yellow,3,0,3
130,PLAYER 4,56,blue,3,0,4
131,PLAYER 1,100,green,3,1,1
131,PLAYER 2,54,red,2,0,2
131,PLAYER 3,52,yellow,2,0,3
131,PLAYER 4,56,blue,2,0,4
132,PLAYER 1,105,green,4,1,1
132,PLAYER 2,98,red,3,0,2
132,PLAYER 3,50,yellow,3,0,3
132,PLAYER 4,85,blue,3,0,4
133,PLAYER 1,119,green,4,1,1
133,PLAYER 2,59,red,3,0,2
133,PLAYER 3,66,yellow,3,0,3
133,PLAYER 4,60,blue,3,0,4
134,PLAYER 1,113,green,3,1,1
134,PLAYER 2,44,red,2,0,2
134,PLAYER 3,74,yellow,2,0,3
134,PLAYER 4,57,blue,2,0,4
135,PLAYER 1,78,green,4,0,1
135,PLAYER 2,106,red,4,1,2
135,PLAYER 3,73,yellow,3,0,3
135,PLAYER 4,71,blue,3,0,4
136,PLAYER 1,77,green,3,0,1
136,PLAYER 2,74,red,3,0,2
136,PLAYER 3,72,yellow,3,0,3
136,PLAYER 4,101,blue,3,1,4
137,PLAYER 1,88,green,4,0,1
137,PLAYER 2,95,red,4,0,2
137,PLAYER 3,105,yellow,4,1,3
137,PLAYER 4,68,blue,3,0,4
138,PLAYER 1,90,green,4,0,1
138,PLAYER 2,102,red,4,1,2
138,PLAYER 3,71,yellow,3,0,3
138,PLAYER 4,95,blue,3,0,4
139,PLAYER 1,94,green,4,0,1
139,PLAYER 2,107,red,4,1,2
139,PLAYER 3,81,yellow,3,0,3
139,PLAYER 4,80,blue,3,0,4
140,PLAYER 1,107,green,4,1,1
140,PLAYER 2,88,red,3,0,2
140,PLAYER 3,81,yellow,3,0,3
140,PLAYER 4,63,blue,3,0,4
141,PLAYER 1,62,green,3,0,1
141,PLAYER 2,89,red,3,0,2
141,PLAYER 3,101,yellow,3,1,3
141,PLAYER 4,56,blue,2,0,4
142,PLAYER 1,93,green,4,0,1
142,PLAYER 2,79,red,4,0,2
142,PLAYER 3,97,yellow,4,0,3
142,PLAYER 4,101,blue,4,1,4
143,PLAYER 1,83,green,3,0,1
143,PLAYER 2,89,red,3,0,2
143,PLAYER 3,89,yellow,3,0,3
143,PLAYER 4,117,blue,3,1,4
144,PLAYER 1,107,green,3,1,1
144,PLAYER 2,42,red,2,0,2
144,PLAYER 3,40,yellow,2,0,3
144,PLAYER 4,58,blue,2,0,4
145,PLAYER 1,102,green,3,1,1
145,PLAYER 2,46,red,2,0,2
145,PLAYER 3,28,yellow,2,0,3
145,PLAYER 4,39,blue,2,0,4
146,PLAYER 1,112,green,4,1,1
146,PLAYER 2,55,red,3,0,2
146,PLAYER 3,76,yellow,3,0,3
146,PLAYER 4,81,blue,3,0,4
147,PLAYER 1,81,green,4,0,1
147,PLAYER 2,122,red,4,1,2
147,PLAYER 3,93,yellow,3,0,3
147,PLAYER 4,47,blue,3,0,4
148,PLAYER 1,116,green,4,1,1
148,PLAYER 2,75,red,3,0,2
148,PLAYER 3,75,yellow,3,0,3
148,PLAYER 4,82,blue,3,0,4
149,PLAYER 1,92,green,3,0,1
149,PLAYER 2,73,red,3,0,2
149,PLAYER 3,108,yellow,3,1,3
149,PLAYER 4,35,blue,2,0,4
150,PLAYER 1,70,green,3,0,1
150,PLAYER 2,104,red,3,1,2
150,PLAYER 3,44,yellow,2,0,3
150,PLAYER 4,43,blue,2,0,4
151,PLAYER 1,117,green,4,1,1
151,PLAYER 2,75,red,3,0,2
151,PLAYER 3,69,yellow,3,0,3
151,PLAYER 4,73,blue,3,0,4
152,PLAYER 1,82,green,4,0,1
152,PLAYER 2,101,red,4,1,2
152,PLAYER 3,77,yellow,3,0,3
152,PLAYER 4,76,blue,3,0,4
153,PLAYER 1,76,green,3,0,1
153,PLAYER 2,115,red,3,1,2
153,PLAYER 3,56,yellow,2,0,3
153,PLAYER 4,50,blue,2,0,4
154,PLAYER 1,54,green,3,0,1
154,PLAYER 2,58,red,3,0,2
154,PLAYER 3,106,yellow,3,1,3
154,PLAYER 4,60,blue,2,0,4
155,PLAYER 1,107,green,4,1,1
155,PLAYER 2,69,red,3,0,2
155,PLAYER 3,67,yellow,3,0,3
155,PLAYER 4,87,blue,3,0,4
156,PLAYER 1,88,green,4,0,1
156,PLAYER 2,114,red,4,1,2
156,PLAYER 3,76,yellow,3,0,3
156,PLAYER 4,63,blue,3,0,4
157,PLAYER 1,87,green,4,0,1
157,PLAYER 2,103,red,4,1,2
157,PLAYER 3,53,yellow,3,0,3
157,PLAYER 4,90,blue,3,0,4
158,PLAYER 1,80,green,3,0,1
158,PLAYER 2,90,red,3,0,2
158,PLAYER 3,106,yellow,3,1,3
158,PLAYER 4,67,blue,2,0,4
159,PLAYER 1,100,green,4,1,1
159,PLAYER 2,83,red,3,0,2
159,PLAYER 3,90,yellow,3,0,3
159,PLAYER 4,82,blue,3,0,4
160,PLAYER 1,75,green,4,0,1
160,PLAYER 2,86,red,4,0,2
160,PLAYER 3,102,yellow,4,1,3
160,PLAYER 4,73,blue,3,0,4
161,PLAYER 1,91,green,4,0,1
161,PLAYER 2,110,red,4,1,2
161,PLAYER 3,69,yellow,3,0,3
161,PLAYER 4,94,blue,3,0,4
162,PLAYER 1,100,green,5,1,1
162,PLAYER 2,83,red,4,0,2
162,PLAYER 3,88,yellow,4,0,3
162,PLAYER 4,83,blue,4,0,4
163,PLAYER 1,106,green,4,1,1
163,PLAYER 2,84,red,3,0,2
163,PLAYER 3,82,yellow,3,0,3
163,PLAYER 4,72,blue,3,0,4
164,PLAYER 1,97,green,4,0,1
164,PLAYER 2,114,red,4,1,2
164,PLAYER 3,81,yellow,3,0,3
164,PLAYER 4,71,blue,3,0,4
165,PLAYER 1,105,green,3,1,1
165,PLAYER 2,70,red,2,0,2
165,PLAYER 3,49,yellow,2,0,3
165,PLAYER 4,52,blue,2,0,4
166,PLAYER 1,85,green,4,0,1
166,PLAYER 2,74,red,4,0,2
166,PLAYER 3,105,yellow,4,1,3
166,PLAYER 4,75,blue,3,0,4
167,PLAYER 1,94,green,4,0,1
167,PLAYER 2,109,red,4,1,2
167,PLAYER 3,82,yellow,3,0,3
167,PLAYER 4,74,blue,3,0,4
